Taxa	Dbh	WD	LA	CEL	HCEL	LIG
13-33	29.7	0.424	93.26166667	0.460557	0.256381	0.171114
13-34	26.6	0.385	80.738125	0.47419	0.22449	0.189276
13-35	30.2	0.429	90.96583333	0.311784	0.225126	0.314535
13-37	27.3	0.412	70.5607129	0.447569	0.209247	0.246902
13-38	29.9	0.4	52.901	0.246353	0.216075	0.396917
13-39	25	0.415	86.87529412	0.363985	0.214559	0.294636
13-4	28.1	0.34		0.366938	0.174389	0.288666
13-40	27.8	0.383	89.460625	0.287124	0.212203	0.389412
13-42	29.3	0.399	90.924	0.368699	0.206911	0.312602
13-43	24.5	0.382	93.2833333	0.417883	0.202555	0.267032
13-44	20.7	0.326	77.60571429	0.474345	0.207969	0.204694
13-45	30.4	0.418	102.0428571	0.256041	0.201481	0.417381
13-5	26.4	0.338		0.423167	0.167317	0.175507
13-6	33.2	0.364	66.77384615	0.304673	0.167601	0.272897
13-7	33.9	0.382	66.85363636	0.417932	0.147196	0.136098
13-8						
13-9	35.9	0.362	75.56375	0.34148	0.174757	0.303649
14-10	30	0.386		0.352941	0.217367	0.316527
14-11	13.5	0.334	78.96142857			
14-12	29.6	0.398		0.398532	0.152418	0.364853
14-13	19.2	0.3		0.505952	0.144231	0.276099
14-14	31.4	0.363	82.05			
14-15	31.5	0.374	65.66875	0.351153	0.146641	0.39284
14-16	25	0.353		0.527804	0.146432	0.210843
14-17	27.2	0.362		0.528011	0.133987	0.248833
14-18	26.8	0.382	72.19642857	0.431714	0.139642	0.350384
14-19	28.2	0.374		0.215502	0.103047	0.464606
14-2	30	0.353	72.3435	0.549313	0.200837	0.127914
14-20	27.4	0.369		0.249706	0.130724	0.528376
14-21	30.2	0.37	81.29642857	0.579636	0.15529	0.188282
14-22	26.7	0.379		0.366788	0.241484	0.337591
14-23	31.7	0.385		0.422316	0.177564	0.316137
14-26	28.4	0.393	78.9375	0.22306	0.127514	0.537716
14-27	32	0.487	74.029			
14-28	25.2	0.37		0.550613	0.123722	0.22546
14-3	32.9	0.385		0.538002	0.222886	0.131085
14-30	32.7	0.433	61.075	0.610063	0.199371	0.099371
14-31	32.4	0.355	89.6375	0.492921	0.120608	0.29785
14-32	25.5	0.405		0.372293	0.10941	0.416729
14-33	27.1	0.377		0.402056	0.142684	0.29867
14-34	25.9	0.361	72.23416667	0.413315	0.137623	0.346291
14-35	33.4	0.353		0.289903	0.130593	0.4737
14-37	34.2	0.395	81.95	0.550802	0.141711	0.229278
14-39	35.2	0.369		0.34902	0.182353	0.422876
14-4	30.4	0.333		0.290577	0.225405	0.373599
14-40	24.2	0.39	94.05875	0.153534	0.145423	0.630359
14-41	30.3	0.371	73.48592593			
14-42	21.7	0.377				
14-43	25.1	0.315	73.440625	0.487884	0.143989	0.293569
14-44	29.3	0.405		0.487081	0.154545	0.282297
14-45	25.5	0.381		0.431057	0.119617	0.363636
14-5	31.4	0.339		0.370011	0.27138	0.258267
14-6	34	0.317		0.334021	0.240798	0.292054
14-7	26.9	0.371				
14-8	25.9	0.355		0.133041	0.246101	0.451998
14-9	26.5	0.345		0.385709	0.208843	0.299645
15-10	26.7	0.314		0.454728	0.138622	0.315705
15-11	29.3	0.351		0.269213	0.163711	0.494316
15-12	28.2	0.334		0.427109	0.160934	0.348894
15-13	25.9	0.32		0.376092	0.152502	0.42772
15-14	29.5	0.379		0.198774	0.677901	0.057066
15-15	28.3	0.378		0.258621	0.14616	0.523903
15-16	27.9	0.38		0.188532	0.230275	0.547248
15-17	27.1	0.406		0.311821	0.14893	0.434378
15-18	31.2	0.341		0.53711	0.141853	0.231006
15-19	26.4	0.357		0.458226	0.206288	0.284668
15-2	32.4	0.403	89.80263158	0.474561	0.116667	0.327193
15-20	26.4	0.362		0.331546	0.200825	0.322474
15-21	18	0.352		0.218902	0.134816	0.57123
15-22	28.2	0.397		0.203163	0.145377	0.5809
15-23	29.5	0.375		0.661888	0.211073	0.071676
15-24	30.5	0.346		0.458922	0.146341	0.318357
15-25	31.2	0.392		0.248171	0.170512	0.532921
15-26	30.1	0.37		0.338796	0.134909	0.447027
15-27	27.7	0.361	70.379	0.478032	0.115114	0.338313
15-28	28.2	0.383		0.475265	0.125883	0.314929
15-3	34.7	0.376		0.424933	0.130027	0.373548
15-30	32	0.416		0.534741	0.158038	0.262262
15-31	26.8	0.368		0.651802	0.17471	0.114844
15-32	25	0.363	87.13625	0.408891	0.127753	0.377653
15-33	29.9	0.374		0.521839	0.180843	0.272797
15-34	27	0.376		0.316393	0.146733	0.454337
15-35	30.5	0.359		0.448698	0.179939	0.285988
15-36	30.7	0.367	86.6725	0.408817	0.154107	0.363602
15-38	30.9	0.389	86.5225	0.282669	0.120014	0.524415
15-39	17.9	0.328	90.03666667	0.65655	0.194089	0.107029
15-4	31.9	0.388	83.680625	0.536102	0.124587	0.2605
15-40	22.8	0.304	80.734375	0.490521	0.203791	0.245024
15-41	30.9	0.356	104.88	0.371825	0.3101	0.227998
15-42	29.4	0.359		0.179477	0.182989	0.58135
15-43	29.1	0.379	64.269375	0.413129	0.154048	0.249891
15-45	32.1	0.38		0.553914	0.101259	0.281336
15-5	32.3	0.329	80.61375	0.540137	0.121344	0.264468
15-6	32.5	0.348		0.417558	0.119302	0.384356
15-7	29.7	0.397				
15-9	32.9	0.395	46.52615385	0.570916	0.159785	0.205117
16-11	32.3	0.324		0.443923	0.162954	0.042986
16-12	33.2	0.366	68.455	0.675197	0.208661	0.098425
16-13	29.7	0.369		0.309186	0.120838	0.476264
16-14	27.9	0.366		0.307259	0.115363	0.47327
16-15	29.5	0.363		0.668719	0.119194	0.087857
16-17	30.5	0.332		0.465865	0.141971	0.201319
16-18	26.5	0.361		0.350276	0.150906	0.457447
16-19	32.8	0.35	75.66555556	0.31983	0.099388	0.490815
16-2	31.8	0.319	68.901	0.241248	0.162801	0.551244
16-20	29	0.384		0.27682	0.147244	0.525032
16-21	28.7	0.354		0.369012	0.161416	0.41476
16-22	30	0.368		0.438267	0.13093	0.358065
16-23	30.8	0.343	80.99285714	0.349583	0.181818	0.242863
16-24	23.2	0.398		0.43772	0.155018	0.321749
16-26	26.8	0.362		0.3462	0.084361	0.101074
16-27	23.8	0.357	63.1875	0.569844	0.15037	0.028759
16-28	32.9	0.363	63.1875	0.514449	0.171707	0.166331
16-29	23.1	0.318	86.50916667	0.694793	0.15188	0.092575
16-30	31.3	0.39	63.475	0.344131	0.1565	0.40387
16-31	28.5	0.356		0.334435	0.182819	0.393906
16-32	25	0.375	64.05214286	0.260029	0.19478	0.457226
16-33	30	0.351	53.72928571	0.390858	0.207711	0.315299
16-34	29.6	0.366	58.046	0.292033	0.161951	0.453008
16-35	23.4	0.346	40.11642857	0.42299	0.140496	0.324944
16-36	28.7	0.375	76.82428571	0.375437	0.160839	0.363199
16-37	27.6	0.361	63.88083333	0.267989	0.140551	0.505044
16-38	29.5	0.382	77.61928571	0.686011	0.19573	0.02847
16-39	4.6					
16-4	28.6	0.343		0.2	0.12449	0.437415
16-40	29.8	0.37	126.314	0.425752	0.164776	0.320178
16-42	35	0.392	73.17214286	0.450223	0.171372	0.305102
16-44	27.6	0.364		0.286787	0.167477	0.486522
16-45	25.1	0.35	91.943	0.551356	0.208982	0.151623
16-5	32.8	0.301		0.451749	0.206282	0.129534
16-6	31.8	0.386		0.358586	0.105601	0.471993
16-7	29.8	0.345		0.527444	0.161004	0.151594
16-8	27.5	0.395		0.416766	0.173653	0.382036
16-9	31	0.326	53.90125	0.347107	0.430238	0.076811
17-10	28.7	0.321		0.370431	0.187652	0.35987
17-11	28	0.366		0.321354	0.185541	0.444212
17-12	28.3	0.348		0.36712	0.153295	0.371418
17-13	27.8	0.351		0.431837	0.170204	0.295102
17-14	29.2	0.349		0.266879	0.192357	0.454777
17-15	32.9	0.38		0.415553	0.144561	0.367844
17-16	29.7	0.354		0.37276	0.152927	0.40681
17-17	27	0.357		0.583333	0.198351	0.128038
17-18	28.7	0.352		0.469023	0.208102	0.251787
17-19	28.3	0.314		0.339949	0.097023	0.470415
17-2	29.2	0.334	65.63125	0.324371	0.171726	0.404597
17-20	35	0.379	81.505625	0.285229	0.163667	0.479796
17-22	31.9	0.379	71.832	0.143919	0.134533	0.657802
17-23	28.7	0.358		0.620187	0.167534	0.159209
17-24	35	0.363	57.53555556	0.354954	0.109033	0.470354
17-25	30	0.376	77.66714286	0.664261	0.191851	0.059423
17-26	34.7	0.413	58.37375	0.192817	0.130056	0.59484
17-28	28	0.358		0.385607	0.161117	0.404941
17-29	26	0.359	52.991	0.448964	0.138052	0.356668
17-3	31	0.32	65.76888889	0.398318	0.149764	0.346821
17-30	27.3	0.373		0.487715	0.097176	0.346535
17-31	27.2	0.36		0.379042	0.073627	0.490456
17-32	25.5	0.367		0.342143	0.137581	0.449674
17-34	31.3	0.403	77.3955	0.322289	0.135207	0.47925
17-35	23.1	0.373	44.693	0.380375	0.101801	0.452407
17-36	27.3	0.348		0.329247	0.112434	0.496322
17-37	29.5	0.392	79.735	0.355293	0.148515	0.447829
17-4	29.6	0.336	52.739	0.342433	0.183059	0.370935
17-42	27.9	0.382	86.62166667	0.438339	0.114367	0.363451
17-43	29.6	0.385	88.85	0.371229	0.137233	0.405445
17-44	31.8	0.349	91.13083333	0.325755	0.38278	0.216176
17-45	29.3	0.381	81.27294118	0.359684	0.153755	0.406324
17-5	31	0.331	61.814375	0.266251	0.219501	0.458148
17-6	26.4	0.346		0.342443	0.153171	0.413293
17-7	28.6	0.342		0.183434	0.185655	0.54808
17-8	31	0.369		0.600854	0.168011	0.170384
17-9	24.7	0.335		0.194724	0.139447	0.596315
18-10	29	0.333		0.397751	0.088545	0.430077
18-11	31.7	0.362		0.589965	0.159655	0.181956
18-12	27	0.353		0.477657	0.130586	0.299783
18-13	27.5	0.372		0.352993	0.068152	0.322848
18-14	25.6	0.361		0.311956	0.242785	0.392121
18-15	30.6	0.369		0.564103	0.142352	0.237843
18-18	30.5	0.408		0.543139	0.131471	0.26212
18-19	28	0.338		0.478144	0.141932	0.314085
18-2	35.6	0.35	83.76625	0.632732	0.098368	0.214347
18-20	32.3	0.35	79.02416667	0.630748	0.162663	0.187371
18-21	29	0.38		0.290578	0.146873	0.485748
18-22	24.3	0.35		0.330246	0.140007	0.448878
18-23	31.5	0.389		0.505376	0.130515	0.288469
18-24	26	0.372		0.477355	0.105072	0.34058
18-25	24.8	0.378		0.455065	0.110703	0.356209
18-26	33.4	0.36	66.8475	0.495572	0.126812	0.281401
18-29	35.5	0.364	57.45714286	0.574727	0.151883	0.194411
18-3	22.7	0.333	67.156	0.223146	0.172557	0.546085
18-30	8.5					
18-31	31.3	0.355	42.524375	0.30546	0.151992	0.474668
18-32	27.3	0.374		0.640134	0.127759	0.189967
18-33	24.6	0.366	111.36375	0.348816	0.114259	0.453785
18-34	24.3	0.367	68.286	0.51716	0.121467	0.280956
18-35	24.7	0.338	86.67090909	0.308223	0.154974	0.457159
18-36	26.3	0.358		0.223315	0.148057	0.58485
18-37	26.4	0.403	78.24375	0.566806	0.126423	0.245656
18-39	29.3	0.39		0.598477	0.126768	0.209467
18-4	31.4	0.353		0.489714	0.132715	0.300524
18-40	29.8	0.402	60.98333333	0.524441	0.055168	0.335196
18-41	25	0.377		0.48645	0.11506	0.319414
18-42	32	0.358	83.65230769	0.469546	0.142635	0.318832
18-44	29.7	0.404	51.300625	0.482788	0.129622	0.332342
18-45	29	0.34		0.437215	0.120597	0.353502
18-5	27	0.392				
18-6	32	0.404		0.439258	0.137468	0.367008
18-7	30.9	0.365		0.23748	0.156886	0.535994
18-8	28	0.355		0.376733	0.123267	0.440594
18-9	28.7	0.384		0.222746	0.142558	0.589623
19-11	32.9	0.343		0.588433	0.13694	0.189925
19-12	27.1	0.391		0.610164	0.080717	0.242152
19-13	29.2	0.332		0.687303	0.055205	0.175079
19-14	32.3	0.347		0.728239	0.100411	0.104181
19-15	30.7	0.357				
19-16	33.3	0.364		0.681668	0.131713	0.10021
19-17	29.3	0.377				
19-18	29.1	0.394				
19-19	33.1	0.332		0.637266	0.135806	0.148364
19-2	32.3	0.376		0.295619	0.125749	0.499842
19-20	32	0.365		0.683152	0.116576	0.119565
19-21	29	0.357		0.690364	0.115632	0.12848
19-22	34.4	0.353	55.94333333	0.71754	0.111617	0.128702
19-23	25.7	0.371		0.694702	0.088079	0.152318
19-24	31.8	0.362		0.578082	0.080626	0.272407
19-25	29.6	0.353				
19-26	31.3	0.352		0.731982	0.125375	0.093468
19-27	26.1	0.346				
19-28	31.8	0.351		0.675117	0.102973	0.138967
19-29	28.7	0.365	108.89875			
19-3	35	0.392	80.94882353	0.715107	0.110427	0.106732
19-30	29.5	0.375		0.666559	0.114489	0.1326
19-31	31.4	0.361				
19-32	30.2	0.365		0.617656	0.067792	0.234107
19-33	32.9	0.37		0.652144	0.106535	0.185841
19-34	27.9	0.368		0.203567	0.425359	0.288872
19-35	35.3	0.338	69.8725	0.382147	0.151842	0.43615
19-38	36.6	0.368	60.035	0.311937	0.222863	0.452939
19-4	35.2	0.352	62.33571429	0.720231	0.066667	0.127168
19-40	30.1	0.346	77.00714286	0.315305	0.178422	0.452746
19-41	28.2	0.403	61.165	0.474551	0.236153	0.197231
19-42	31.3	0.365		0.354839	0.143845	0.45293
19-43	30	0.387	81.795	0.393701	0.122703	0.441601
19-44	24.9	0.403		0.606397	0.142603	0.206575
19-45	31.2	0.375		0.239724	0.187034	0.509517
19-5	31.3	0.367		0.706975	0.109781	0.099463
19-6	33.4	0.358		0.655259	0.076729	0.173271
19-7	32.1	0.375		0.62957	0.085175	0.205705
19-8	32.2	0.346		0.707089	0.122604	0.125724
19-9	35.2	0.357		0.685522	0.058923	0.171717
2-10	27.5	0.312		0.425036	0.148025	0.257972
2-11	26.5	0.332				
2-12	29	0.307		0.43083	0.152174	0.267787
2-13	25.5	0.31		0.448548	0.144264	0.232398
2-14	26.5	0.344	51.4573333	0.383398	0.117833	0.17165
2-15	28	0.311		0.45879	0.154935	0.314114
2-16	23.4	0.335	45.73142857			
2-17	26.2	0.361	43.59125	0.410268	0.14602	0.284032
