Taxa	Dbh	WD	LA	CEL	HCEL	LIG
5-40	26.7	0.384	85.5	0.391823	0.228279	0.21678
5-42	26.5	0.362	111.904375	0.460227	0.21733	0.152462
5-43	24.8	0.348	114.541875	0.46477	0.216125	0.180217
5-44	28.6	0.394	130.288	0.541728	0.196049	0.106667
5-45	20.4	0.321	75.01333333	0.568474	0.210478	0.068934
5-5	28.5	0.355		0.454124	0.213624	0.202502
5-6	29.6	0.366	82.00233333	0.501318	0.220348	0.147601
5-7	30.1	0.378		0.459159	0.231029	0.172064
5-8	29.6	0.338	74.54352941	0.452718	0.203289	0.211512
5-9	30	0.341		0.448222	0.230406	0.180674
6-10	28.3	0.369	90.64357143	0.399684	0.223802	0.222222
6-11	29.4	0.359		0.383418	0.206372	0.245836
6-12	31.6	0.385		0.34231	0.187468	0.313827
6-13	30.8	0.371	99.17777778	0.215385	0.222378	0.422378
6-14	26.7	0.343	96.343	0.272407	0.202625	0.371959
6-15	27	0.329	99.1347619	0.518877	0.236205	0.095837
6-16	25.7	0.34		0.423202	0.224887	0.210629
6-17	26.4	0.345		0.387283	0.219075	0.252023
6-18	31.8	0.332		0.376062	0.214629	0.251201
6-19	24	0.371		0.466446	0.217391	0.149338
6-2	37.5	0.327	84.29	0.382131	0.209312	0.252517
6-20	29.3	0.363	56.94666667	0.489459	0.217664	0.14245
6-21	29.2	0.36		0.3356	0.217244	0.296354
6-22	24.3	0.352	137.9707692	0.497297	0.201247	0.15052
6-23	28.1	0.364		0.375204	0.181892	0.307504
6-24	33	0.377	112.189375	0.443427	0.210912	0.188576
6-25	31.4	0.36	122.785	0.377277	0.229835	0.253686
6-26	29.5	0.366		0.447416	0.216682	0.19583
6-28	30.8	0.377	119.321875	0.35811	0.227618	0.27552
6-29	23.1	0.397	125.37125	0.348703	0.229267	0.285303
6-3	24.8	0.32	83.187	0.42598	0.22451	0.205882
6-30	25.5	0.408	90.06388889	0.398156	0.207638	0.254609
6-31	27.3	0.383	148.799	0.419474	0.226119	0.203969
6-32	23.7	0.362		0.387597	0.202658	0.254153
6-33	26.6	0.374	82.14571429	0.46702	0.224971	0.159894
6-34	30.3	0.38		0.302689	0.200925	0.329864
6-36	27.7	0.392	111.2928125	0.41485	0.212875	0.217643
6-37	26.4	0.395	154.89	0.46082	0.218474	0.169694
6-4	28.2	0.364	82.63322581	0.462185	0.213544	0.174493
6-40	26.9	0.394	159.6983333	0.376909	0.218622	0.253631
6-41	28.3	0.384	87.20538462	0.528825	0.218899	0.114868
6-42	26.6	0.387	116.3272727	0.507774	0.201456	0.130996
6-43	23.5	0.37	116.6157143	0.507187	0.210678	0.149076
6-44	25.1	0.373	132.9983333	0.221372	0.200857	0.416412
6-45	25.4	0.344	92.650625	0.538793	0.220307	0.078065
6-5	29.5	0.373	66.255	0.386397	0.209358	0.248432
6-6	30.5	0.322		0.363696	0.20396	0.276238
6-7	28.1	0.354	146.68	0.520642	0.214286	0.113041
6-8	28.2	0.362	87.488	0.424666	0.228862	0.19199
6-9	24.3	0.35	89.41833333	0.5198	0.210742	0.120619
7-10	28.3	0.316				
7-11	30.1	0.311				
7-12	26.4	0.287				
7-13	30.3	0.305				
7-14	31.9	0.332				
7-15	27.6	0.348				
7-16	30.1	0.379				
7-17	27.7	0.335	71.212			
7-18	32.9	0.344				
7-19	25.8	0.374				
7-2	34.3	0.383	62.42833333	0.250363	0.199927	0.391509
7-20	20.8	0.427				
7-21	28.7	0.358				
7-22	27.9	0.438				
7-23	29.8	0.364				
7-24	24.7	0.35	99.02833333			
7-25	28.6	0.372				
7-26	3.1					
7-27	30.9	0.376				
7-28	33	0.394	116.764			
7-3	30	0.37	49.46777778	0.446911	0.210362	0.191859
7-31	33.5	0.367	66.1033333			
7-33	31	0.351				
7-35	30.5	0.362				
7-36	25	0.357	101.1491667			
7-37	26.9	0.399				
7-38	32.8	0.404	71.678			
7-4	31.8	0.331	91.636	0.246211	0.208151	0.401145
7-40	20.1	0.352	109.655			
7-41	28.2	0.369	103.5333333			
7-42	29.9	0.388	119.375625			
7-44	25.3	0.348	82.4925			
7-5	31.5	0.393	44.2841667	0.455441	0.204494	0.18051
7-6	30.4	0.381		0.456311	0.183657	0.231392
7-7	29.2	0.369	73.85545455			
7-9	32.3	0.398	82.92666667			
8-0						
8-10	26.7	0.339				
8-11	26.5	0.352				
8-12	28.4	0.343				
8-13	25.6	0.333				
8-14	32	0.379				
8-15	30.3	0.365	87.49916667			
8-16	30.3	0.349	95.07285714			
8-17	28.4	0.367	93.09933333			
8-18	28.5	0.355	69.25875			
8-19	31.5	0.356	53.20545455			
8-2	27.1	0.338	85.21277778			
8-20	25	0.403	72.7025			
8-21	25.2	0.315	95.66785714			
8-22	25.6	0.369				
8-23	30.2	0.344	76.78545455			
8-24	19	0.347	118.395			
8-25	27.5	0.4	86.34			
8-27	33.1	0.388	103.4183333			
8-29	34.3	0.338				
8-3	28	0.331				
8-31	30.2	0.366	94.70014286			
8-32	25.5	0.379	91.20916667			
8-33	25.2	0.391	87.6575	0.509565	0.201159	0.129275
8-34	25.1	0.361	126.985	0.418535	0.187593	0.259342
8-35	22	0.334	67.51875	0.429794	0.217916	0.199295
8-36	26.9	0.382	89.70083333	0.483016	0.205163	0.179348
8-37	18	0.419	81.7125	0.506203	0.236044	0.111647
8-38	26.8	0.375	118.5827273	0.455752	0.20354	0.189528
8-39	24	0.384	71.39230769	0.440857	0.219769	0.185502
8-4	27.3	0.332	76.74214286			
8-40	26	0.381	82.034375	0.517663	0.21875	0.132473
8-41	26.6	0.386	79.4791667	0.417546	0.21908	0.207574
8-42	27.5	0.38	91.02272727	0.390954	0.212718	0.258397
8-43	25	0.34	66.5225	0.534226	0.21912	0.091013
8-44	28.1	0.401	45.86	0.301712	0.202785	0.338845
8-45	26.7	0.385	106.936	0.25435	0.187128	0.391657
8-5	27.6	0.318	67.59			
8-6	30.4	0.391				
8-7	28	0.347				
8-8	31.1	0.378				
8-9	27.7	0.337				
9-11	32.3	0.359	73.066875	0.530981	0.195783	0.131239
9-12	29	0.382	65.04769231	0.283667	0.209032	0.356409
9-13	30.7	0.361	128.628	0.471613	0.188387	0.189032
9-14	26.7	0.366	72.60666667	0.314698	0.199367	0.331927
9-15	30.5	0.36	107.67	0.47763	0.213893	0.119702
9-16	17.1	0.341		0.454929	0.194518	0.194518
9-17	31.9	0.381	94.023125	0.449633	0.217466	0.187203
9-18	31.6	0.351	88.17166667	0.367241	0.203918	0.276847
9-2	29.2	0.367		0.356305	0.198925	0.296676
9-21	31	0.381		0.414031	0.182076	0.242498
9-22	29.3	0.365	113.2488462	0.396701	0.20978	0.230324
9-23	28.4	0.372		0.464602	0.198009	0.212942
9-24	31.5	0.382	82.546	0.419151	0.206594	0.224483
9-26	28.7	0.369	127	0.385737	0.207704	0.280062
9-27	32.2	0.378	157.5214286	0.381781	0.213475	0.251829
9-28	24.5	0.366	98.6865	0.533724	0.197947	0.147116
9-29	22.7	0.419	99.12666667	0.434199	0.212675	0.205253
9-3	30.1	0.362		0.346634	0.227273	0.075295
9-31	33.4	0.371	101.8678571	0.478374	0.231545	0.158699
9-32	25.7	0.389	73.14	0.341641	0.214261	0.292143
9-33	20.6	0.37	112.345	0.412509	0.201042	0.260611
9-34	24.5	0.415	84.59533333	0.433371	0.222473	0.198193
9-35	26.9	0.377	98.17590909	0.552231	0.212073	0.093963
9-37	30.9	0.476	113.5973077	0.449673	0.227227	0.168848
9-38	18.4	0.427	134.7842857	0.184008	0.206166	0.477842
9-39	30.3	0.366	79.70535714	0.368547	0.215846	0.258824
9-4	29	0.354		0.382327	0.200404	0.256136
9-40	26.3	0.357	107.3640909	0.515789	0.215539	0.142356
9-43	25.2	0.327	103.1363158	0.212594	0.225374	0.381858
9-44	21.7	0.365	56.84153846	0.542419	0.215704	0.104693
9-5	27	0.353		0.412722	0.2	0.236686
9-6	29.3	0.34	91.85833333	0.304581	0.184117	0.34652
9-7	33.5	0.326	94.70014286	0.490492	0.19016	0.166315
9-9	32.6	0.347	111.2928125	0.445794	0.204229	0.209177
